iteration,mean,std,low,up
0,0.13471816213793106,0.16415828223942283,0.07227569105913008,0.19716063321673205
50,12.983503662068962,2.6095696304471803,11.990876461330727,13.976130862807198
100,23.67298046551725,4.5122985103448165,21.95659390623186,25.389367024802638
150,33.26805441379311,6.559731589942935,30.772865962123618,35.7632428654626
200,42.32635665517241,8.203963054131941,39.205736003257705,45.44697730708712
250,50.605336724137935,9.49169216198782,46.994890115971174,54.215783332304696
300,58.6334495862069,10.86398962285422,54.50100894068365,62.765890231730154
350,66.20047806896551,12.381661257561975,61.490746007714975,70.91021013021604
400,73.26511803448278,13.498577365985172,68.13053380710186,78.39970226186371
450,80.33635103448276,14.662165930866061,74.75916138799646,85.91354068096906
500,87.32840493103447,16.078966943036267,81.21229300161502,93.44451686045392
550,93.83287820689655,17.071937672257114,87.33906041216451,100.32669600162859
600,99.90648003448274,18.418413421878245,92.90049025605877,106.9124698129067
650,105.7395201034483,19.511728336907407,98.31765557274008,113.16138463415652
700,111.66789224137932,20.74055406763747,103.77860740080158,119.55717708195706
750,117.51335213793105,21.813201044755758,109.21605420820083,125.81065006766127
800,122.96461241379308,22.955565155889254,114.23278241539222,131.69644241219393
850,128.2916347586207,23.761310672355854,119.25331555710147,137.3299539601399
900,133.83248365517244,24.92884957867293,124.35005640502763,143.31491090531725
950,139.08879927586207,25.96721492758161,129.2113989705418,148.96619958118234
1000,144.34134331034483,26.845201362436136,134.12997482615424,154.5527117945354
1050,149.4554463793104,27.8151581276472,138.87512607354162,160.03576668507915
1100,154.48800879310346,28.786367872184726,143.53826005791018,165.43775752829674
1150,159.5726408275862,29.80138808027661,148.23679905387212,170.9084826013003
1200,164.45676417241378,30.53011668133352,152.84372886344192,176.06979948138564
1250,169.06362620689654,31.601976660258625,157.04287716687492,181.08437524691817
1300,173.81202362068964,32.77668853316819,161.34443808147086,186.27960915990843
1350,178.12419565517243,33.86210890041147,165.2437382890477,191.00465302129714
1400,182.7500955172414,34.56284193487273,169.60309355987584,195.89709747460694
1450,186.9780858620689,35.65056153225265,173.41733749742684,200.53883422671095
1500,191.235916,36.450896087170996,177.37073665193694,205.10109534806307
