iteration,ReturnMean_mean,ReturnMean_std,ReturnMean_low,ReturnMean_up,RiverSwim_mu1_actor_mean,RiverSwim_mu1_actor_std,RiverSwim_mu1_actor_low,RiverSwim_mu1_actor_up,CumRegret_mean,CumRegret_std,CumRegret_low,CumRegret_up,PerStepRegret_mean,PerStepRegret_std,PerStepRegret_low,PerStepRegret_up,GridSize_mean,GridSize_std,GridSize_low,GridSize_up
0,0.11017442700000002,0.058288597142093695,0.06847727649611593,0.1518715775038841,0.00596162514,0.0023197246528220312,0.004302194089695327,0.007621056190304673,2.2598255729999996,0.0582885971420936,2.2181284224961155,2.3015227235038838,2.2598255729999996,0.0582885971420936,2.2181284224961155,2.3015227235038838,100.0,1e-10,99.99999999992846,100.00000000007154
25,0.7452684609999999,0.1358451346324409,0.6480907058006263,0.8424462161993734,0.6990276470000001,0.2938945004345146,0.48878818649268885,0.9092671075073113,42.243020014,3.5319734979434645,39.71639838060468,44.769641647395325,1.6247315390000001,0.13584513463244086,1.5275537838006266,1.7219092941993737,100.0,1e-10,99.99999999992846,100.00000000007154
50,0.7315622029999999,0.1146374750368155,0.6495554935514483,0.8135689124485515,0.47162524264999994,0.4399826509653153,0.15688061478264148,0.7863698705173584,83.56032764700001,5.846511221877589,79.37798546870066,87.74266982529936,1.6384377970000004,0.11463747503681543,1.5564310875514489,1.7204445064485518,100.0,1e-10,99.99999999992846,100.00000000007154
75,0.776012577,0.0888145221530662,0.7124784952289264,0.8395466587710737,0.6710226211999999,0.3536580779923356,0.41803087276226925,0.9240143696377305,121.14304414799999,6.749903676133034,116.31445393876356,125.97163435723641,1.5939874230000002,0.08881452215306626,1.5304533412289265,1.6575215047710739,100.0,1e-10,99.99999999992846,100.00000000007154
100,0.784589977,0.06144011875848968,0.7406383637435682,0.8285415902564318,0.5312553105,0.41398966306605456,0.23510494603271936,0.8274056749672806,160.126412323,6.20545198460746,155.68729939125396,164.56552525474606,1.5854100230000001,0.06144011875848967,1.5414584097435684,1.6293616362564318,100.0,1e-10,99.99999999992846,100.00000000007154
125,0.789925773,0.07726558060171727,0.7346533063241264,0.8451982396758736,0.44003437506000004,0.42722538457609643,0.1344157458052459,0.7456530043147542,199.08935260200002,9.735463143316377,192.1250218097819,206.05368339421813,1.580074227,0.07726558060171732,1.5248017603241266,1.6353466936758736,100.0,1e-10,99.99999999992846,100.00000000007154
150,0.798666259,0.056320714747457,0.7583768467572217,0.8389556712427783,0.6835461736500001,0.45766571024571456,0.35615184720803933,1.010940500091961,237.27139489100006,8.504427911866012,231.18769365307088,243.35509612892923,1.571333741,0.05632071474745704,1.5310443287572215,1.6116231532427783,100.0,1e-10,99.99999999992846,100.00000000007154
175,0.8037139,0.0624477543118905,0.7590414676917596,0.8483863323082403,0.505568875,0.36226741081292846,0.2464183808734141,0.7647193691265859,275.6663536,10.990804741392727,267.80400552626844,283.5287016737315,1.5662861000000003,0.0624477543118905,1.52161366769176,1.6109585323082407,100.0,1e-10,99.99999999992846,100.00000000007154
200,0.8023326900000001,0.06255356068010304,0.7575845683755651,0.847080811624435,0.7226940414999999,0.31382882515911126,0.49819442413544734,0.9471936588645525,315.1011293100001,12.5732656767007,306.1067568777958,324.09550174220436,1.56766731,0.06255356068010301,1.522919188375565,1.612415431624435,100.0,1e-10,99.99999999992846,100.00000000007154
225,0.811740911,0.056336828313809074,0.7714399718062522,0.8520418501937478,0.5446711527,0.4284921803426075,0.23814631234524075,0.8511959930547592,352.166554114,12.732123176420844,343.0585418723086,361.27456635569143,1.5582590889999999,0.056336828313809095,1.5179581498062522,1.5985600281937475,100.0,1e-10,99.99999999992846,100.00000000007154
250,0.8196347430000002,0.055209152058348546,0.7801404948032749,0.8591289911967255,0.6241897405,0.41936046820213224,0.32419733348810065,0.9241821475118993,389.14167950700005,13.857497141645467,379.2286232275059,399.0547357864942,1.550365257,0.05520915205834848,1.5108710088032746,1.5898595051967253,100.0,1e-10,99.99999999992846,100.00000000007154
275,0.83543048,0.0519498971029429,0.7982677623438843,0.8725931976561156,0.5906647248,0.41230822798309974,0.295717186531222,0.8856122630687779,423.54118752000005,14.33817157291224,413.2842774665844,433.7980975734157,1.5345695200000002,0.05194989710294295,1.4974068023438845,1.571732237656116,100.0,1e-10,99.99999999992846,100.00000000007154
300,0.8410393060000001,0.05083986757663389,0.8046706556313408,0.8774079563686594,0.63814039214,0.42800949655526827,0.3319608429659051,0.9443199413140948,460.21716889400005,15.302800110566794,449.2702051544943,471.1641326335058,1.5289606940000002,0.05083986757663386,1.492592043631341,1.5653293443686596,100.0,1e-10,99.99999999992846,100.00000000007154
325,0.8449605609999999,0.0483060558133599,0.8104044903745825,0.8795166316254174,0.7427810909999999,0.3004583479539055,0.5278461368400726,0.9577160451599271,497.16285711400013,15.747774162655327,485.8975781133632,508.4281361146371,1.525039439,0.04830605581335988,1.4904833683745826,1.5595955096254173,100.0,1e-10,99.99999999992846,100.00000000007154
350,0.8541061429999999,0.04207848227160568,0.8240050101150038,0.8842072758849959,0.8056902039999999,0.2641710362694183,0.6167136288520241,0.9946667791479757,532.078743807,14.769547242333587,521.513246189404,542.6442414245961,1.5158938570000005,0.042078482271605724,1.4857927241150044,1.5459949898849965,100.0,1e-10,99.99999999992846,100.00000000007154
375,0.8600500759999999,0.04319475217856192,0.8291504117281557,0.8909497402718441,0.54117104155,0.47137367212234216,0.20397062991305903,0.8783714531869409,567.741171424,16.241226781639295,556.1228976846124,579.3594451633875,1.5099499240000003,0.04319475217856191,1.479050259728156,1.5408495882718445,100.0,1e-10,99.99999999992846,100.00000000007154
400,0.8572707100000001,0.04784677468033928,0.8230431893048628,0.8914982306951375,0.5153461594000001,0.46360780984027433,0.18370111097721298,0.8469912078227871,606.6044452900001,19.18655660681607,592.8792095198643,620.3296810601358,1.51272929,0.04784677468033928,1.4785017693048625,1.5469568106951375,100.0,1e-10,99.99999999992846,100.00000000007154
425,0.861301901,0.043885568278767294,0.8299080566601307,0.8926957453398694,0.6787033965,0.410098875385648,0.38533633386949334,0.9720704591305067,642.7053901740001,18.69525204425489,629.3316125156184,656.0791678323817,1.5086980990000003,0.04388556827876728,1.477304254660131,1.5400919433398697,100.0,1e-10,99.99999999992846,100.00000000007154
450,0.8669027970000002,0.05084046490912708,0.8305337193254168,0.9032718746745836,0.60105231779,0.4049309526709035,0.311382164362915,0.890722471217085,677.896838553,22.929049629016323,661.4943845539539,694.299292552046,1.503097203,0.05084046490912703,1.4667281253254165,1.5394662806745836,100.0,1e-10,99.99999999992846,100.00000000007154
475,0.864708208,0.04657448162763698,0.8313908309265088,0.8980255850734913,0.7732574885,0.3153816531328124,0.5476470449207039,0.998867932079296,716.518892992,22.169453207255174,700.6598215389977,732.3779644450024,1.5052917920000002,0.04657448162763691,1.4719744149265088,1.5386091690734915,100.0,1e-10,99.99999999992846,100.00000000007154
500,0.8728797580000002,0.037198835595829004,0.8462693140631296,0.8994902019368708,0.7031683005,0.3129282449585154,0.4793129194013078,0.9270236815986922,750.057241242,18.636616583510328,736.7254088653957,763.3890736186044,1.497120242,0.037198835595829045,1.4705097980631294,1.5237306859368707,100.0,1e-10,99.99999999992846,100.00000000007154
525,0.877035799,0.038542192914725194,0.849464375127895,0.9046072228721049,0.4029336562,0.39690041332538706,0.11900820455225408,0.686859107847746,785.2991697260002,20.273193420645388,770.7966008068292,799.8017386451711,1.4929642010000002,0.03854219291472518,1.4653927771278952,1.5205356248721051,100.0,1e-10,99.99999999992846,100.00000000007154
550,0.8815285239999999,0.03806402560383298,0.8542991604159424,0.9087578875840574,0.6048220595,0.39626611794007804,0.3213503554365487,0.8882937635634514,820.1477832760002,20.973278052711958,805.1444039805291,835.1511625714712,1.4884714760000002,0.03806402560383298,1.4612421124159427,1.5157008395840577,100.0,1e-10,99.99999999992846,100.00000000007154
575,0.8843801689999999,0.043914714393331104,0.8529654747857958,0.9157948632142041,0.4271998122899999,0.403939624679119,0.13823881218790213,0.7161608123920977,855.7170226559999,25.29487543305874,837.6221588297512,873.8118864822486,1.4856198310000004,0.04391471439333108,1.4542051367857962,1.5170345252142046,100.0,1e-10,99.99999999992846,100.00000000007154
600,0.8786774440000003,0.04177508753345019,0.8487933466361735,0.908561541363827,0.6180412321000001,0.4267160165685322,0.31278698276712835,0.9232954814328718,896.284856156,25.106827547603558,878.3245136832616,914.2451986287385,1.491322556,0.04177508753345019,1.4614384586361733,1.5212066533638269,100.0,1e-10,99.99999999992846,100.00000000007154
625,0.884617467,0.04406164251263975,0.8530976667409697,0.9161372672590303,0.5350073559999999,0.3796654689653971,0.26341104082388117,0.8066036711761186,929.849465658,27.582588150412498,910.1180707405568,949.5808605754431,1.4853825330000003,0.044061642512639755,1.45386273274097,1.5169023332590306,100.0,1e-10,99.99999999992846,100.00000000007154
650,0.8918984570000001,0.04511713665197794,0.8596236017192018,0.9241733122807985,0.5618208134999999,0.45060951813780037,0.23947418281216354,0.8841674441878362,962.2441044929999,29.371255895437628,941.2331737516984,983.2550352343014,1.478101543,0.045117136651977904,1.4458266877192016,1.5103763982807983,100.0,1e-10,99.99999999992846,100.00000000007154
675,0.8950527060000001,0.046397805349797774,0.8618617155219791,0.9282436964780211,0.6252584323999999,0.4637417442369965,0.293517573081573,0.9569992917184268,997.064370744,31.364916348963273,974.6272612291444,1019.5014802588556,1.4749472940000001,0.04639780534979773,1.4417563035219791,1.5081382844780211,100.0,1e-10,99.99999999992846,100.00000000007154
700,0.8974125789999998,0.04632458992302923,0.8642739636831399,0.9305511943168597,0.59116825624,0.4668533141116505,0.25720151392338547,0.9251349985566146,1032.283782121,32.47353746604345,1009.0536128339563,1055.5139514080438,1.472587421,0.046324589923029166,1.4394488056831403,1.5057260363168599,100.0,1e-10,99.99999999992846,100.00000000007154
725,0.8980856039999999,0.04894001409559972,0.8630760269392964,0.9330951810607034,0.7343678106,0.37869051350671196,0.4634689365442478,1.0052666846557523,1068.609851496,35.53045016090537,1043.1928986017926,1094.0268043902072,1.4719143959999998,0.04894001409559965,1.4369048189392963,1.5069239730607034,100.0,1e-10,99.99999999992846,100.00000000007154
750,0.9027387979999999,0.0496444655712808,0.8672252867112594,0.9382523092887404,0.4637851197999999,0.41600766817403595,0.1661911614424772,0.7613790781575227,1101.913162702,37.28299356903182,1075.2425157778077,1128.583809626192,1.467261202,0.049644465571280834,1.4317476907112596,1.5027747132887403,100.0,1e-10,99.99999999992846,100.00000000007154
775,0.904560197,0.05467013202173461,0.8654515405089133,0.9436688534910868,0.5861639044,0.4721661929893069,0.2483965574877643,0.9239312513122357,1137.1812871280003,42.42402237136597,1106.8329697463573,1167.5296045096434,1.4654398030000002,0.05467013202173467,1.4263311465089135,1.504548459491087,100.0,1e-10,99.99999999992846,100.00000000007154
800,0.9100895240000002,0.05692148699580121,0.8693703451804643,0.9508087028195361,0.8424106410000001,0.2230197145963912,0.6828719479998999,1.0019493340001002,1169.388291276,45.594111003636826,1136.7722290987801,1202.00435345322,1.4599104760000001,0.056921486995801206,1.419191297180464,1.5006296548195361,100.0,1e-10,99.99999999992846,100.00000000007154
825,0.9114817469999998,0.054847017124807426,0.8722465545288699,0.9507169394711298,0.43171086670000003,0.39294146406392205,0.1506174767467589,0.7128042566532411,1204.736076978,45.303636062590925,1172.3278080558637,1237.1443459001364,1.458518253,0.05484701712480735,1.4192830605288702,1.4977534454711299,100.0,1e-10,99.99999999992846,100.00000000007154
850,0.9108666450000001,0.05094020764837058,0.8744262156680802,0.9473070743319201,0.5847301955499999,0.4127904398971662,0.2894377036583619,0.8800226874416379,1241.722485105,43.350116623763384,1210.7116798043414,1272.7332904056586,1.459133355,0.05094020764837065,1.42269292566808,1.4955737843319201,100.0,1e-10,99.99999999992846,100.00000000007154
875,0.9162061410000002,0.05067287082988273,0.879956952907401,0.9524553290925994,0.61144003067,0.4146694206332183,0.31480339693267523,0.9080766644073247,1273.523420484,44.389434759477304,1241.7691317774768,1305.2777091905234,1.453793859,0.05067287082988276,1.4175446709074007,1.4900430470925992,100.0,1e-10,99.99999999992846,100.00000000007154
900,0.9188713969999999,0.05456503202718009,0.8798379245158333,0.9579048694841664,0.5932373152999999,0.4102512592129827,0.2997612438462539,0.8867133867537459,1307.466871303,49.16309376648926,1272.2977126591481,1342.636029946852,1.451128603,0.05456503202718011,1.4120951305158334,1.4901620754841665,100.0,1e-10,99.99999999992846,100.00000000007154
925,0.919161864,0.05348828599274021,0.880898649227527,0.957425078772473,0.5660758875,0.40863880102593214,0.27375329914592045,0.8583984758540797,1343.4761139360003,49.530152736777424,1308.0443771228609,1378.9078507491397,1.450838136,0.05348828599274017,1.4125749212275271,1.4891013507724729,100.0,1e-10,99.99999999992846,100.00000000007154
950,0.918704683,0.05273261751494648,0.8809820408917275,0.9564273251082724,0.50388126082,0.41465102673989024,0.2072577852812948,0.8005047363587051,1380.181846467,50.148719161714084,1344.3076138899917,1416.0560790440084,1.451295317,0.05273261751494653,1.4135726748917274,1.4890179591082726,100.0,1e-10,99.99999999992846,100.00000000007154
975,0.9218917409999998,0.052534745682338506,0.8843106478736769,0.9594728341263228,0.6006998924,0.3927874638990109,0.3197166675282459,0.8816831172717541,1413.353660784,51.273911688462434,1376.674513962456,1450.0328076055441,1.448108259,0.052534745682338554,1.410527165873677,1.485689352126323,100.0,1e-10,99.99999999992846,100.00000000007154
1000,0.9262383230000001,0.05095594873534773,0.8897866331728038,0.9626900128271964,0.657376323,0.4252102035394158,0.3531992674165801,0.96155337858342,1445.205438677,51.00690458408311,1408.7172972315122,1481.693580122488,1.443761677,0.050955948735347825,1.4073099871728036,1.4802133668271962,100.0,1e-10,99.99999999992846,100.00000000007154
