iteration,ReturnMean_mean,ReturnMean_std,ReturnMean_low,ReturnMean_up,CumRegret_mean,CumRegret_std,CumRegret_low,CumRegret_up,PerStepRegret_mean,PerStepRegret_std,PerStepRegret_low,PerStepRegret_up
0,0.11241617543479654,0.005342946009117752,0.10859406210904242,0.11623828876055066,22575.838245652038,53.429459091278,22537.61711310978,22614.059378194295,2.2575838245652036,0.005342946009117729,2.2537617112394495,2.2614059378909577
100,0.18819780330259023,0.013242608441279786,0.1787246119012949,0.19767099470388555,43636.043933948196,264.8521668256933,43446.58010735294,43825.507760543456,2.1818021966974097,0.013242608441279889,2.172329005296114,2.1912753880987053
200,0.2186930924220452,0.01629280916042415,0.20703791887176848,0.23034826597232194,64539.20722733865,488.7842718128224,64189.55202297635,64888.86243170095,2.151306907577955,0.01629280916042422,2.139651734027678,2.162962081128232
300,0.2381132397308809,0.014908324274409326,0.22744846700500182,0.24877801245675996,85275.47041076477,596.332966976473,84848.87950459096,85702.06131693858,2.1318867602691194,0.014908324274409369,2.1212219875432403,2.1425515329949985
400,0.24815474282494293,0.017804767485553638,0.23541797944527232,0.26089150620461354,106092.26285875286,890.2383692777819,105455.42469334604,106729.10102415968,2.1218452571750572,0.017804767485553607,2.109108493795387,2.1345820205547277
500,0.25653118214475296,0.01629758801579694,0.24487259000728273,0.2681897742822232,126808.12907131482,977.8552749479154,126108.61354735868,127507.64459527096,2.1134688178552468,0.01629758801579697,2.1018102257177764,2.125127409992717
600,0.25977342267012093,0.017308276184519585,0.2473918277713904,0.27215501756885147,147715.86041309152,1211.5793259164614,146849.14877518782,148582.57205099522,2.1102265773298794,0.017308276184519477,2.097844982431149,2.1226081722286096
700,0.26412213387252353,0.015654973032578925,0.2529232408011669,0.27532102694388016,168470.22929019813,1252.3978346063948,167574.3178502124,169366.14073018386,2.105877866127477,0.015654973032578914,2.09467897305612,2.1170767591988335
800,0.2682641612926058,0.013929317929393528,0.2582997275166051,0.2782285950686064,189156.2254836655,1253.6386046455157,188259.4264502636,190053.02451706742,2.1017358387073943,0.013929317929393573,2.091771404931394,2.111700272483395
900,0.27179381784285417,0.012488046687807031,0.26286040740287325,0.2807272282828351,209820.61821571464,1248.8046587808171,208927.27717887005,210713.95925255923,2.098206182157146,0.01248804668780713,2.089272771717165,2.107139592597127
1000,0.2748032224869505,0.011368545676413645,0.2666706548266907,0.28293579014721026,230471.64552643546,1250.5400134056038,229577.06309167575,231366.22796119517,2.09519677751305,0.011368545676413657,2.08706420985279,2.10332934517331
1100,0.2771115070988763,0.010590768475786196,0.2695353277303778,0.28468768646737475,251146.61914813487,1270.8922050944464,250237.47763249927,252055.76066377046,2.0928884929011238,0.010590768475786182,2.0853123135326253,2.1004646722696223
1200,0.2793123818616623,0.009843229002200604,0.27227096001806544,0.28635380370525915,271789.3903579839,1279.619757286196,270874.00552761584,272704.7751883519,2.090687618138338,0.009843229002200644,2.083646196294741,2.097729039981935
1300,0.28139906657488567,0.009136262884553693,0.27486337782582204,0.2879347553239493,292404.13067951606,1279.076789837586,291489.1342646621,293319.12709437,2.088600933425114,0.00913626288455375,2.0820652446760506,2.0951366221741776
1400,0.28312490070918905,0.008616055069974465,0.27696134621281515,0.28928845520556296,313031.26489362173,1292.408245496249,312106.7317298959,313955.79805734754,2.086875099290811,0.008616055069974473,2.080711544794437,2.0930386537871852
1500,0.28423563758685555,0.008336716475273613,0.2782719098833,0.2901993652904111,333722.2979861031,1333.8746200438802,332768.1015649799,334676.49440722633,2.085764362413145,0.008336716475273592,2.0798006347095894,2.0917280901167006
1600,0.2851387306446497,0.008301479319300807,0.2792002100839654,0.29107725120533395,354426.41579040955,1411.2514672812522,353416.86730725423,355435.96427356487,2.08486126935535,0.008301479319300774,2.0789227487946658,2.0907997899160344
1700,0.2864017714791008,0.007926913356753074,0.2807311992664598,0.2920723436917418,375047.6811337619,1426.8443862156478,374026.9781483629,376068.3841191609,2.0835982285208994,0.00792691335675313,2.0779276563082583,2.0892688007335405
1800,0.2875207480480972,0.007659900404486884,0.2820411853948386,0.2930003107013558,395671.0578708615,1455.3810578526031,394629.94098033407,396712.1747613889,2.0824792519519026,0.007659900404486971,2.076999689298644,2.087958814605161
1900,0.28800892094159025,0.008119857294017006,0.2822003249509658,0.2938175169322147,416398.215811682,1623.9714388035143,415236.49662786414,417559.93499549985,2.08199107905841,0.008119857294017098,2.0761824830677855,2.0877996750490344
2000,0.288915348435106,0.00788324829958467,0.28327601232265925,0.2945546845475528,437027.77682862774,1655.4821219128658,435843.5162600364,438212.0373972191,2.081084651564894,0.007883248299584648,2.0754453154524475,2.086723987677341
